DEVICE: cuda
Training large_100k_cnn_large: model=cnn_large, n_train=100000, epochs=200
Parameters: 4364672
epoch 001/200  train_L1=3.55873  val_L1@15.0dB=3.17944
epoch 002/200  train_L1=3.11824  val_L1@15.0dB=3.05990
epoch 003/200  train_L1=3.01335  val_L1@15.0dB=2.98394
epoch 004/200  train_L1=2.95449  val_L1@15.0dB=2.92749
epoch 005/200  train_L1=2.91548  val_L1@15.0dB=2.92636
epoch 006/200  train_L1=2.88327  val_L1@15.0dB=2.90507
epoch 007/200  train_L1=2.85855  val_L1@15.0dB=2.93475
epoch 008/200  train_L1=2.83827  val_L1@15.0dB=2.87892
epoch 009/200  train_L1=2.81976  val_L1@15.0dB=2.85658
epoch 010/200  train_L1=2.80399  val_L1@15.0dB=2.88462
epoch 011/200  train_L1=2.79236  val_L1@15.0dB=2.85809
epoch 012/200  train_L1=2.78134  val_L1@15.0dB=2.86997
epoch 013/200  train_L1=2.76829  val_L1@15.0dB=2.86378
epoch 014/200  train_L1=2.75574  val_L1@15.0dB=2.88550
epoch 015/200  train_L1=2.75532  val_L1@15.0dB=2.85252
epoch 016/200  train_L1=2.74579  val_L1@15.0dB=2.83095
epoch 017/200  train_L1=2.73533  val_L1@15.0dB=2.82909
epoch 018/200  train_L1=2.73587  val_L1@15.0dB=2.88899
epoch 019/200  train_L1=2.72046  val_L1@15.0dB=2.82311
epoch 020/200  train_L1=2.71679  val_L1@15.0dB=2.85049
epoch 021/200  train_L1=2.71047  val_L1@15.0dB=2.83859
epoch 022/200  train_L1=2.70675  val_L1@15.0dB=2.83794
epoch 023/200  train_L1=2.70578  val_L1@15.0dB=2.84531
epoch 024/200  train_L1=2.69954  val_L1@15.0dB=2.83562
epoch 025/200  train_L1=2.69505  val_L1@15.0dB=2.83542
epoch 026/200  train_L1=2.69042  val_L1@15.0dB=2.83847
epoch 027/200  train_L1=2.68689  val_L1@15.0dB=2.85541
epoch 028/200  train_L1=2.68657  val_L1@15.0dB=2.82904
epoch 029/200  train_L1=2.68042  val_L1@15.0dB=2.83053
epoch 030/200  train_L1=2.67944  val_L1@15.0dB=2.82668
epoch 031/200  train_L1=2.67160  val_L1@15.0dB=2.81998
epoch 032/200  train_L1=2.66611  val_L1@15.0dB=2.85590
epoch 033/200  train_L1=2.66351  val_L1@15.0dB=2.81773
epoch 034/200  train_L1=2.66691  val_L1@15.0dB=2.81772
epoch 035/200  train_L1=2.66048  val_L1@15.0dB=2.82399
epoch 036/200  train_L1=2.66026  val_L1@15.0dB=2.85634
epoch 037/200  train_L1=2.65681  val_L1@15.0dB=2.81964
epoch 038/200  train_L1=2.65480  val_L1@15.0dB=2.83921
epoch 039/200  train_L1=2.65373  val_L1@15.0dB=2.82591
epoch 040/200  train_L1=2.64759  val_L1@15.0dB=2.81854
epoch 041/200  train_L1=2.64304  val_L1@15.0dB=2.82655
epoch 042/200  train_L1=2.64329  val_L1@15.0dB=2.85137
epoch 043/200  train_L1=2.64319  val_L1@15.0dB=2.82148
epoch 044/200  train_L1=2.64058  val_L1@15.0dB=2.84369
epoch 045/200  train_L1=2.63949  val_L1@15.0dB=2.83962
epoch 046/200  train_L1=2.63819  val_L1@15.0dB=2.84225
epoch 047/200  train_L1=2.63714  val_L1@15.0dB=2.87210
epoch 048/200  train_L1=2.63206  val_L1@15.0dB=2.80525
epoch 049/200  train_L1=2.62992  val_L1@15.0dB=2.81765
epoch 050/200  train_L1=2.63082  val_L1@15.0dB=2.84197
epoch 051/200  train_L1=2.62750  val_L1@15.0dB=2.83786
epoch 052/200  train_L1=2.63053  val_L1@15.0dB=2.85806
epoch 053/200  train_L1=2.61934  val_L1@15.0dB=2.84514
epoch 054/200  train_L1=2.62700  val_L1@15.0dB=2.82638
epoch 055/200  train_L1=2.61870  val_L1@15.0dB=2.83000
epoch 056/200  train_L1=2.62186  val_L1@15.0dB=2.81503
epoch 057/200  train_L1=2.61428  val_L1@15.0dB=2.81437
epoch 058/200  train_L1=2.61617  val_L1@15.0dB=2.85695
epoch 059/200  train_L1=2.61391  val_L1@15.0dB=2.86439
epoch 060/200  train_L1=2.61477  val_L1@15.0dB=2.86117
