DEVICE: cuda
Training large_60k_multires_50ep: model=multires, n_train=60000, epochs=50
Parameters: 9888640
epoch 001/50  train_L1=4.01969  val_L1@15.0dB=3.46305
epoch 002/50  train_L1=3.36034  val_L1@15.0dB=3.18103
epoch 003/50  train_L1=3.16489  val_L1@15.0dB=3.09261
epoch 004/50  train_L1=3.07621  val_L1@15.0dB=3.02349
epoch 005/50  train_L1=3.01188  val_L1@15.0dB=3.02640
epoch 006/50  train_L1=2.96616  val_L1@15.0dB=2.99212
epoch 007/50  train_L1=2.93337  val_L1@15.0dB=2.94504
epoch 008/50  train_L1=2.90598  val_L1@15.0dB=2.90227
epoch 009/50  train_L1=2.88988  val_L1@15.0dB=2.95489
epoch 010/50  train_L1=2.86418  val_L1@15.0dB=2.91632
epoch 011/50  train_L1=2.84230  val_L1@15.0dB=2.90352
epoch 012/50  train_L1=2.83296  val_L1@15.0dB=2.91867
epoch 013/50  train_L1=2.81881  val_L1@15.0dB=2.88248
epoch 014/50  train_L1=2.80732  val_L1@15.0dB=2.87542
epoch 015/50  train_L1=2.79554  val_L1@15.0dB=2.88406
epoch 016/50  train_L1=2.78989  val_L1@15.0dB=2.89870
epoch 017/50  train_L1=2.77269  val_L1@15.0dB=2.90757
epoch 018/50  train_L1=2.76209  val_L1@15.0dB=2.87247
epoch 019/50  train_L1=2.74582  val_L1@15.0dB=2.89591
epoch 020/50  train_L1=2.74816  val_L1@15.0dB=2.85900
epoch 021/50  train_L1=2.73432  val_L1@15.0dB=2.83137
epoch 022/50  train_L1=2.72240  val_L1@15.0dB=2.87955
epoch 023/50  train_L1=2.70979  val_L1@15.0dB=2.87822
epoch 024/50  train_L1=2.70890  val_L1@15.0dB=2.84403
epoch 025/50  train_L1=2.71137  val_L1@15.0dB=2.87762
epoch 026/50  train_L1=2.70513  val_L1@15.0dB=2.84097
epoch 027/50  train_L1=2.69264  val_L1@15.0dB=2.88736
epoch 028/50  train_L1=2.67326  val_L1@15.0dB=2.84538
epoch 029/50  train_L1=2.66656  val_L1@15.0dB=2.92534
epoch 030/50  train_L1=2.67445  val_L1@15.0dB=2.88469
epoch 031/50  train_L1=2.65701  val_L1@15.0dB=2.88536
epoch 032/50  train_L1=2.64379  val_L1@15.0dB=2.89424
epoch 033/50  train_L1=2.66177  val_L1@15.0dB=2.87558
epoch 034/50  train_L1=2.64333  val_L1@15.0dB=2.89345
epoch 035/50  train_L1=2.63126  val_L1@15.0dB=2.91320
epoch 036/50  train_L1=2.64051  val_L1@15.0dB=2.88441
epoch 037/50  train_L1=2.62937  val_L1@15.0dB=2.92622
epoch 038/50  train_L1=2.61825  val_L1@15.0dB=2.91051
epoch 039/50  train_L1=2.61814  val_L1@15.0dB=2.91422
epoch 040/50  train_L1=2.62513  val_L1@15.0dB=2.93882
epoch 041/50  train_L1=2.60380  val_L1@15.0dB=2.87226
epoch 042/50  train_L1=2.59170  val_L1@15.0dB=2.93037
epoch 043/50  train_L1=2.58938  val_L1@15.0dB=2.93258
epoch 044/50  train_L1=2.58079  val_L1@15.0dB=2.94579
epoch 045/50  train_L1=2.58946  val_L1@15.0dB=2.94786
epoch 046/50  train_L1=2.59388  val_L1@15.0dB=2.97063
epoch 047/50  train_L1=2.57940  val_L1@15.0dB=2.97704
epoch 048/50  train_L1=2.57803  val_L1@15.0dB=2.98083
epoch 049/50  train_L1=2.56785  val_L1@15.0dB=2.94419
epoch 050/50  train_L1=2.57008  val_L1@15.0dB=2.95357
Saved: D:\Haim\Haim 3rd paper\Ultra-Fast project\src\checkpoints\large_60k_multires_50ep.pt
