model,label,snr_db,sim_amb_mu,sim_amb_sig,tau,c_hat,c_hat_pct,sweep_path
phys_2k,Multires 2K physics ($\lambda{=}4.5$),-10.0,0.05436623179778454,0.05352973419387571,0.05,0.46749573021861657,46.74957302186166,d:\Haim\Haim 3rd paper\Ultra-Fast project\src\checkpoints\benchmark\filtered_c1_multires_2k_diagnostics\filtered_c1_multires_lam4p5_test_snr_sweep.npz
phys_2k,Multires 2K physics ($\lambda{=}4.5$),-5.0,0.036065292366126336,0.036924630287174104,0.05,0.6470552982891989,64.7055298289199,d:\Haim\Haim 3rd paper\Ultra-Fast project\src\checkpoints\benchmark\filtered_c1_multires_2k_diagnostics\filtered_c1_multires_lam4p5_test_snr_sweep.npz
phys_2k,Multires 2K physics ($\lambda{=}4.5$),0.0,0.028080108999072612,0.03139549890178298,0.05,0.7574694920042212,75.74694920042212,d:\Haim\Haim 3rd paper\Ultra-Fast project\src\checkpoints\benchmark\filtered_c1_multires_2k_diagnostics\filtered_c1_multires_lam4p5_test_snr_sweep.npz
phys_2k,Multires 2K physics ($\lambda{=}4.5$),5.0,0.025505285121873333,0.030569989860886253,0.05,0.7885113675853668,78.85113675853668,d:\Haim\Haim 3rd paper\Ultra-Fast project\src\checkpoints\benchmark\filtered_c1_multires_2k_diagnostics\filtered_c1_multires_lam4p5_test_snr_sweep.npz
phys_2k,Multires 2K physics ($\lambda{=}4.5$),10.0,0.0234410356430992,0.028288301010226714,0.05,0.826100592341116,82.6100592341116,d:\Haim\Haim 3rd paper\Ultra-Fast project\src\checkpoints\benchmark\filtered_c1_multires_2k_diagnostics\filtered_c1_multires_lam4p5_test_snr_sweep.npz
phys_2k,Multires 2K physics ($\lambda{=}4.5$),15.0,0.023361273032865594,0.029038948183527452,0.05,0.8205189954217955,82.05189954217956,d:\Haim\Haim 3rd paper\Ultra-Fast project\src\checkpoints\benchmark\filtered_c1_multires_2k_diagnostics\filtered_c1_multires_lam4p5_test_snr_sweep.npz
phys_2k,Multires 2K physics ($\lambda{=}4.5$),20.0,0.023066528358545568,0.028575831265995978,0.05,0.8270383658943804,82.70383658943804,d:\Haim\Haim 3rd paper\Ultra-Fast project\src\checkpoints\benchmark\filtered_c1_multires_2k_diagnostics\filtered_c1_multires_lam4p5_test_snr_sweep.npz
phys_2k,Multires 2K physics ($\lambda{=}4.5$),25.0,0.023044555986060672,0.02855056261247268,0.05,0.8274484016410377,82.74484016410378,d:\Haim\Haim 3rd paper\Ultra-Fast project\src\checkpoints\benchmark\filtered_c1_multires_2k_diagnostics\filtered_c1_multires_lam4p5_test_snr_sweep.npz
phys_2k,Multires 2K physics ($\lambda{=}4.5$),30.0,0.02304165425485711,0.02840228173565532,0.05,0.8287307013294309,82.8730701329431,d:\Haim\Haim 3rd paper\Ultra-Fast project\src\checkpoints\benchmark\filtered_c1_multires_2k_diagnostics\filtered_c1_multires_lam4p5_test_snr_sweep.npz
plain_60k,Multires 60K plain ($\lambda{=}0$),-10.0,0.06645208520376439,0.0698797847142102,0.05,0.40693590545338976,40.69359054533898,d:\Haim\Haim 3rd paper\Ultra-Fast project\src\checkpoints\benchmark\filtered_c1_multires_2k_diagnostics\filtered_c1_multires_60k_lam0_test_snr_sweep.npz
plain_60k,Multires 60K plain ($\lambda{=}0$),-5.0,0.045179865113486845,0.0508527338962749,0.05,0.5377576561653049,53.77576561653049,d:\Haim\Haim 3rd paper\Ultra-Fast project\src\checkpoints\benchmark\filtered_c1_multires_2k_diagnostics\filtered_c1_multires_60k_lam0_test_snr_sweep.npz
plain_60k,Multires 60K plain ($\lambda{=}0$),0.0,0.03247985614989394,0.04111083154334908,0.05,0.6650074871448954,66.50074871448955,d:\Haim\Haim 3rd paper\Ultra-Fast project\src\checkpoints\benchmark\filtered_c1_multires_2k_diagnostics\filtered_c1_multires_60k_lam0_test_snr_sweep.npz
plain_60k,Multires 60K plain ($\lambda{=}0$),5.0,0.0258118714814838,0.024239741791266606,0.05,0.8408289733634209,84.08289733634209,d:\Haim\Haim 3rd paper\Ultra-Fast project\src\checkpoints\benchmark\filtered_c1_multires_2k_diagnostics\filtered_c1_multires_60k_lam0_test_snr_sweep.npz
plain_60k,Multires 60K plain ($\lambda{=}0$),10.0,0.024374109400404475,0.027112315711690416,0.05,0.82771530127165,82.77153012716501,d:\Haim\Haim 3rd paper\Ultra-Fast project\src\checkpoints\benchmark\filtered_c1_multires_2k_diagnostics\filtered_c1_multires_60k_lam0_test_snr_sweep.npz
plain_60k,Multires 60K plain ($\lambda{=}0$),15.0,0.023473022403314336,0.02529461928328949,0.05,0.8528465373456171,85.28465373456172,d:\Haim\Haim 3rd paper\Ultra-Fast project\src\checkpoints\benchmark\filtered_c1_multires_2k_diagnostics\filtered_c1_multires_60k_lam0_test_snr_sweep.npz
plain_60k,Multires 60K plain ($\lambda{=}0$),20.0,0.023150714605174528,0.025736550324351147,0.05,0.8515804042346975,85.15804042346974,d:\Haim\Haim 3rd paper\Ultra-Fast project\src\checkpoints\benchmark\filtered_c1_multires_2k_diagnostics\filtered_c1_multires_60k_lam0_test_snr_sweep.npz
plain_60k,Multires 60K plain ($\lambda{=}0$),25.0,0.023273361020393003,0.026151965415852168,0.05,0.8466034898466412,84.66034898466413,d:\Haim\Haim 3rd paper\Ultra-Fast project\src\checkpoints\benchmark\filtered_c1_multires_2k_diagnostics\filtered_c1_multires_60k_lam0_test_snr_sweep.npz
plain_60k,Multires 60K plain ($\lambda{=}0$),30.0,0.023344179338281208,0.02669228955001583,0.05,0.8410139227584528,84.10139227584527,d:\Haim\Haim 3rd paper\Ultra-Fast project\src\checkpoints\benchmark\filtered_c1_multires_2k_diagnostics\filtered_c1_multires_60k_lam0_test_snr_sweep.npz
