kind,legend_label,n_train,n_train_K,mean_l1_amb_per_time,std_l1_amb_per_time,std_for_plot_half
physics,with physical regularization,300,0.3,0.0328059602262429,0.0061794437378083,0.00308972186890415
physics,with physical regularization,866,0.866,0.0279539238391508,0.0050827661691804,0.0025413830845902
physics,with physical regularization,2048,2.048,0.0254947926908547,0.0042306511761588,0.0021153255880794
physics,with physical regularization,7207,7.207,0.0236535892425106,0.0047823740016301,0.00239118700081505
physics,with physical regularization,20794,20.794,0.0220911350974751,0.0054033732183416,0.0027016866091708
physics,with physical regularization,60000,60.0,0.0223010986532648,0.0045490101147885,0.00227450505739425
plain,without physical regularization,300,0.3,0.0377503059418005,0.0028060558500741,0.00140302792503705
plain,without physical regularization,866,0.866,0.0357287632175737,0.0037346259333027,0.00186731296665135
plain,without physical regularization,2048,2.048,0.0325248081664742,0.0030747732931284,0.0015373866465642
plain,without physical regularization,7207,7.207,0.0301862659552069,0.0035659093428823,0.00178295467144115
plain,without physical regularization,20794,20.794,0.0280025013189515,0.0041845060466779,0.00209225302333895
plain,without physical regularization,60000,60.0,0.0264054210315912,0.0047960902384325,0.00239804511921625
