omega_rad_s,f1,f2
4.451e+16,3.6332,2.7402
4.523e+16,3.6738,2.6898
4.5961e+16,3.7127,2.6362
4.6705e+16,3.7475,2.5836
4.746000000000001e+16,3.7797,2.5321
4.8228e+16,3.8097,2.4815
4.9008e+16,3.8376,2.432
4.980000000000001e+16,3.8637,2.3835
5.0606e+16,3.8881,2.336
5.1424e+16,3.9107,2.2894
5.2256e+16,3.9316,2.2437
5.3101e+16,3.9503,2.199
5.396e+16,3.9671,2.158
5.4833e+16,3.9849,2.1183
5.572e+16,4.0025,2.0793
5.6621e+16,4.0199,2.041
5.7537e+16,4.0371,2.0034
5.8467e+16,4.0543,1.9666
5.9413e+16,4.0736,1.9304
6.0374e+16,4.0945,1.8901
6.135100000000001e+16,4.1101,1.8465
6.2343e+16,4.1223,1.8039
6.3351e+16,4.1321,1.7623
6.4376e+16,4.1399,1.7216
6.5417e+16,4.1456,1.6819
6.6475e+16,4.1493,1.6431
6.755e+16,4.1495,1.6052
6.8643e+16,4.1458,1.5692
6.9753e+16,4.1417,1.5438
7.0881e+16,4.1417,1.5188
7.2028e+16,4.143,1.4942
7.3193e+16,4.1449,1.47
7.4377e+16,4.147,1.4462
7.5579e+16,4.1491,1.4228
7.6802e+16,4.1511,1.3997
7.8044e+16,4.1528,1.3771
7.9306e+16,4.1537,1.3548
8.0589e+16,4.1531,1.3328
8.1893e+16,4.1496,1.3155
8.3217e+16,4.15,1.3017
8.4563e+16,4.1527,1.288
8.5931e+16,4.1568,1.2745
8.732100000000002e+16,4.1621,1.2612
8.8733e+16,4.1685,1.248
9.0168e+16,4.1762,1.2349
9.162699999999998e+16,4.186,1.222
9.3109e+16,4.1995,1.2065
9.461499999999998e+16,4.211,1.185
9.6145e+16,4.2191,1.1638
9.77e+16,4.2258,1.143
9.928000000000002e+16,4.2316,1.1226
1.0088999999999998e+17,4.2367,1.1025
1.0251999999999998e+17,4.2411,1.0828
1.0418e+17,4.245,1.0635
1.0586e+17,4.2485,1.0445
1.0757000000000002e+17,4.2516,1.0258
1.0931e+17,4.2543,1.0075
1.1108e+17,4.2567,0.98947
1.1288e+17,4.2587,0.97179
1.147e+17,4.2605,0.95442
1.1656e+17,4.2619,0.93737
1.1843999999999998e+17,4.2631,0.92062
1.2036e+17,4.2641,0.90417
1.2231e+17,4.2648,0.88801
1.2427999999999998e+17,4.2652,0.87214
1.2628999999999998e+17,4.2655,0.85656
1.2834000000000002e+17,4.2655,0.84125
1.3041e+17,4.2653,0.82622
1.3252e+17,4.2648,0.81145
1.3467e+17,4.2642,0.79695
1.3684e+17,4.2633,0.78271
1.3906e+17,4.2623,0.76872
1.4131e+17,4.261,0.75499
1.4359e+17,4.2595,0.7415
1.4591e+17,4.2579,0.72825
1.4827e+17,4.256,0.71523
1.5067e+17,4.2539,0.70245
1.5311e+17,4.2517,0.6899
1.5559e+17,4.2492,0.67757
1.581e+17,4.2465,0.66546
1.6066e+17,4.2436,0.65357
1.6326e+17,4.2405,0.64189
1.659e+17,4.2372,0.63042
1.6858e+17,4.2337,0.61916
1.7131e+17,4.23,0.60809
1.7408e+17,4.2261,0.59722
1.769e+17,4.2219,0.58655
1.7976e+17,4.2175,0.57607
